0,0,3024,4032,
0,86,447,285,
0,86,447,285,
0,86,447,285,
0,86,447,285, 
1080,597,1942,220,
1080,596,1944,221,
1080,597,1942,93,
1080,630,182,48,Baskin
1296,633,211,52,Robbins
1541,636,26,47,#
1602,633,119,49,8512
1799,597,69,93,i
2045,651,2,2,|
2397,604,103,75,a
2902,598,120,83,wt
1203,696,1698,59,
1203,696,120,54,3246
1357,698,279,57,Yonge
1533,690,56,73,St
1612,690,25,73,°
2217,702,42,19,2
2891,702,10,5,;
1264,764,307,53,
1264,764,214,52,Toronto.
1512,769,59,48,ON
1042,825,623,99,
1042,825,623,99,
1042,825,623,99,
1042,838,63,13,—
1139,827,113,55,Tel:
1295,825,237,99,416.901.
1544,835,121,52,1779
760,934,964,153,
789,934,935,153,
940,934,784,145,
940,974,48,51,«~~
1104,968,92,52,HST
1231,934,493,145,#877486605RT0001
760,1030,552,57,
760,1034,123,49,123
910,1030,235,56,Amber
1073,1026,23,68,-
1118,1026,29,68,-
1272,1056,40,31,a
780,1119,1270,30,
780,1123,1270,26,
780,1124,218,9,
780,1116,218,17,ee
845,1112,22,31,ee
879,1112,19,31,me
910,1112,19,31,we
941,1112,22,31,ow
974,1112,27,31,ee
1007,1119,1043,30,
1007,1119,89,20,a
1348,1119,475,29,ann
1956,1130,30,19,TT
2004,1123,46,13,aa
1132,1186,554,132,
1132,1186,545,132,
1257,1186,383,60,
1257,1217,6,4,-
1294,1186,93,52,CHK
1422,1186,124,51,3198
1132,1198,554,120,
1132,1198,287,120,9/26/2023
1455,1258,124,53,2:30
1615,1259,71,53,PM
765,1339,1296,32,
765,1339,1296,32,
765,1339,1234,28,
765,1339,28,28,oe
804,1339,22,28,me
837,1339,24,28,we
872,1339,21,28,ow
905,1339,21,28,oe
937,1339,22,28,oe
970,1339,23,28,oe
1995,1339,4,3,i:
1001,1352,1060,19,
1001,1353,82,10,em
1101,1344,22,32,ee
1138,1344,17,32,ee
1165,1344,24,32,ce
1199,1344,22,32,ee
1234,1344,19,32,ee
1269,1344,16,32,ee
1298,1344,22,32,ome
1330,1344,22,32,me
1362,1344,22,32,eee
1394,1344,23,32,wee
1429,1344,21,32,we
1461,1344,22,32,wee
1498,1358,48,9,ee
1557,1344,21,32,te
1594,1359,49,8,ee
1655,1344,20,32,ee
1685,1344,23,32,oe
1725,1348,46,19,ee
1786,1360,49,9,ee
1847,1362,52,9,es
1911,1344,22,32,es
1943,1344,21,32,oe
788,1398,1085,86,
788,1398,1085,86,
788,1398,1085,86,
788,1398,31,52,a
864,1400,30,53,2
929,1402,131,82,Hole
1100,1391,157,81,Fudge
1294,1408,126,55,Cake
1456,1408,131,56,GNG
1717,1408,156,55,46.95
703,1436,1562,1284,
703,1436,1562,1284,
862,1436,1281,111,
862,1473,290,74,Visa
1685,1481,190,61,$46.95
2026,1436,117,107,A
858,1549,1223,95,
858,1550,497,94,R31421695753056
1740,1552,60,77,\\
2062,1549,19,61,\
1297,1705,587,70,
1297,1736,57,20,a
1481,1705,100,48,6
1691,1710,193,65,$46.95
703,1788,1185,73,
703,1849,24,12,|
846,1788,171,55,TOTAL
1309,1797,158,64,a
1693,1789,93,58,$46
1811,1792,77,50,95
718,1862,1369,66,
718,1862,429,65,‘Change
1214,1866,203,56,Due
1783,1865,304,63,$0.00
711,1990,1322,89,
711,1990,470,68,Deere
1198,2013,192,90,Check
1428,2018,214,60,Closed.
1668,2036,365,22,-----------
1117,2084,582,145,
1117,2084,307,145,9/26/2023
1462,2094,133,66,2:30
1634,2092,65,69,PM
1147,2229,426,101,
1147,2229,5,5,~
1213,2218,212,117,THANK
1463,2269,110,61,YOU
1132,2387,1133,125,
1132,2387,149,122,WANT
1324,2445,81,81,$1
1430,2445,101,61,OFF
1570,2436,137,70,YOUR
2047,2412,218,87,Cooke
1083,2499,1162,119,
1083,2532,256,67,NEXT.
1353,2511,286,96,PURCHASE
2005,2499,240,119,NS
809,2620,1387,100,
809,2666,70,54,_.
1000,2637,69,71,+.
1179,2624,67,62,OF
1274,2622,83,70,$4
1395,2622,67,63,OR
1502,2620,177,75,MORE?
2026,2622,170,42,SON
2071,692,953,2090,
2071,692,953,2090,
2071,692,953,2090,
2071,692,953,2090, 
694,2707,2328,652,
694,2707,2328,652,
735,2707,1196,79,
735,2719,270,76,Go.
1020,2706,92,78,‘to.
1141,2728,131,51,www.
1286,2696,528,87,GiveBRTheScoop
1827,2725,104,48,.com
698,2796,2324,89,
698,2797,221,89,within
957,2809,33,63,3
1031,2804,141,81,days
1213,2809,32,62,&
1286,2800,132,69,tell
1468,2817,68,51,us
1577,2798,174,69,about
1793,2815,141,59,your
1974,2798,242,109,visit.
2257,2793,40,118,©
2352,2850,2,2,|
2775,2796,247,83,OPS
694,2879,2327,96,
669,2889,245,86,‘Bring
907,2895,261,78,:receipt
1212,2893,142,71,with
1395,2892,142,69,code
1578,2894,69,65,to
1694,2889,210,80,redeem
1943,2888,242,75,offer
2145,2884,40,95,.
2976,2879,45,24,i
767,2979,1398,82,
767,2985,67,76,at
884,2990,102,71,the
1029,2989,177,69,above
1248,2984,511,74,Baskin-Robbins
1805,2984,284,70,location
2160,2979,5,6,|
916,3082,391,73,
916,3087,180,68,Enter
1137,3082,170,71,Code:
911,3178,1002,76,
911,3186,180,68,Visit
1135,3179,629,73,Baskin-Robbins.ca
1805,3178,108,69,for
870,3275,1083,84,
870,3280,184,73,offer
1102,3275,365,84,redemption
1515,3275,438,73,restrictions
1358,3147,596,13,
1358,3147,596,13,
1358,3147,596,13,
1358,3147,596,13, 
900,3532,1025,182,
900,3532,1025,182,
900,3532,1025,182,
900,3538,175,126,Code:
1137,3532,408,182,19802-48756
1592,3565,333,81,1409-2632
