0,0,1400,2489,
371,0,679,206,
371,0,679,206,
487,0,413,92,
487,0,156,85,\O]T
620,0,126,79,AR
710,4,94,80,RG
784,10,71,78,aE
834,16,66,76,=f
371,136,679,70,
371,136,186,33,03/06/2016
580,147,90,29,05:25
692,161,34,19,PM
766,161,140,31,EXPIRES
895,157,16,43,|
911,171,139,35,06/04/16
519,205,385,94,
519,205,385,94,
519,205,385,94,
519,205,226,83,UNM
294,308,323,36,
294,308,323,36,
294,308,323,36,
294,308,151,30,CLEANING
467,311,150,33,SUPPLIES
0,0,288,2489,
0,0,288,2489,
0,0,288,2489,
0,0,288,2489, 
294,344,842,2081,
294,344,842,2067,
294,344,764,59,
294,344,168,31,(03050132
600,350,73,31,UPUP
695,355,110,32,HOUSEH
883,365,8,27,1
971,371,87,32,gy.
1026,345,32,63,9g
296,416,166,67,
296,416,358,67,ene
297,456,601,35,
297,456,81,27,07105
658,456,16,27,0
695,457,110,32,COOKIE
864,464,34,27,FC
304,467,758,92,
304,522,159,34,re
582,488,224,71,"oc,"
974,467,88,32,eee
299,530,723,34,
299,530,60,26,OT:
448,542,8,8,.
864,533,34,28,FC
995,536,27,28,5.
300,535,814,71,
300,559,163,33,071201388
601,560,91,30,MOTTS
715,563,91,31,FRTSN
865,568,34,27,FC
975,535,34,63,$1
1025,539,39,61,8p
1102,579,12,27,\
303,568,776,99,
303,595,142,31,19273023
582,594,160,31,Cartwheel
771,600,110,32,MfrCpn
976,568,103,99,40.5.
302,628,814,70,
302,629,163,34,071201388
583,628,124,70,oS
715,631,92,66,ERTSN
866,633,34,30,FC
977,633,89,34,$4.50
1104,642,12,30,|
583,700,391,63,
583,700,92,63,Saved
695,700,91,34,$1.71
810,704,52,28,off
884,703,90,32,$6.21
304,737,814,35,
304,739,163,30,203140116
867,737,34,28,FC
997,740,71,27,4.19
1106,745,12,27,|
304,735,815,71,
304,773,164,32,210110240
602,735,92,65,OSCAR
716,770,91,30,MAYER
867,771,34,30,FC
